file_url,title,date,article_title,article_url,publication,description
https://firstlook.org/theintercept/document/2014/12/13/gchq-automated-noc-detection-2011/,GCHQ – Automated NOC detection (2011),12/13/14,Operation Socialist: The Inside Story of How British Spies Hacked Belgium's Largest Telco,https://firstlook.org/theintercept/2014/12/13/belgacom-hack-gchq-inside-story/,Intercept,The British government infected Belgacom with among the most advanced malware ever seen.
https://firstlook.org/theintercept/document/2014/12/13/gchq-making-network-sense-encryption-problem-2011/,GCHQ – Making network sense of the encryption problem (2011),12/13/14,Operation Socialist: The Inside Story of How British Spies Hacked Belgium's Largest Telco,https://firstlook.org/theintercept/2014/12/13/belgacom-hack-gchq-inside-story/,Intercept,The British government infected Belgacom with among the most advanced malware ever seen.
https://firstlook.org/theintercept/document/2014/03/12/quantum-insert-diagrams/,Quantum Insert Diagrams,12/13/14,Operation Socialist: The Inside Story of How British Spies Hacked Belgium's Largest Telco,https://firstlook.org/theintercept/2014/12/13/belgacom-hack-gchq-inside-story/,Intercept,The British government infected Belgacom with among the most advanced malware ever seen.
https://firstlook.org/theintercept/document/2014/12/13/gchq-mobile-networks-noc-world/,GCHQ – Mobile Networks in My NOC World (2011),12/13/14,Operation Socialist: The Inside Story of How British Spies Hacked Belgium's Largest Telco,https://firstlook.org/theintercept/2014/12/13/belgacom-hack-gchq-inside-story/,Intercept,The British government infected Belgacom with among the most advanced malware ever seen.
https://firstlook.org/theintercept/document/2014/12/13/gchq-stargate-cne-requirements/,GCHQ  – Stargate CNE requirements,12/13/14,Operation Socialist: The Inside Story of How British Spies Hacked Belgium's Largest Telco,https://firstlook.org/theintercept/2014/12/13/belgacom-hack-gchq-inside-story/,Intercept,The British government infected Belgacom with among the most advanced malware ever seen.
https://firstlook.org/theintercept/document/2014/12/13/gchq-nac-review-october-december-2011/,GCHQ NAC review – October to December (2011),12/13/14,Operation Socialist: The Inside Story of How British Spies Hacked Belgium's Largest Telco,https://firstlook.org/theintercept/2014/12/13/belgacom-hack-gchq-inside-story/,Intercept,The British government infected Belgacom with among the most advanced malware ever seen.
https://firstlook.org/theintercept/document/2014/12/13/gchq-nac-business-review-january-march-2011/,GCHQ NAC review – January to March (2011),12/13/14,Operation Socialist: The Inside Story of How British Spies Hacked Belgium's Largest Telco,https://firstlook.org/theintercept/2014/12/13/belgacom-hack-gchq-inside-story/,Intercept,The British government infected Belgacom with among the most advanced malware ever seen.
https://firstlook.org/theintercept/document/2014/12/13/gchq-nac-review-april-june-2011/,GCHQ NAC review – April to June (2011),12/13/14,Operation Socialist: The Inside Story of How British Spies Hacked Belgium's Largest Telco,https://firstlook.org/theintercept/2014/12/13/belgacom-hack-gchq-inside-story/,Intercept,The British government infected Belgacom with among the most advanced malware ever seen.
https://firstlook.org/theintercept/document/2014/12/13/gchq-nac-review-july-september-2011/,GCHQ NAC review – July to September (2011),12/13/14,Operation Socialist: The Inside Story of How British Spies Hacked Belgium's Largest Telco,https://firstlook.org/theintercept/2014/12/13/belgacom-hack-gchq-inside-story/,Intercept,The British government infected Belgacom with among the most advanced malware ever seen.
https://firstlook.org/theintercept/document/2014/12/13/gchq-nac-review-january-march-2012/,GCHQ NAC review – January to March (2012),12/13/14,Operation Socialist: The Inside Story of How British Spies Hacked Belgium's Largest Telco,https://firstlook.org/theintercept/2014/12/13/belgacom-hack-gchq-inside-story/,Intercept,The British government infected Belgacom with among the most advanced malware ever seen.
https://firstlook.org/theintercept/document/2014/12/13/hopscotch/,Hopscotch,12/13/14,Operation Socialist: The Inside Story of How British Spies Hacked Belgium's Largest Telco,https://firstlook.org/theintercept/2014/12/13/belgacom-hack-gchq-inside-story/,Intercept,The British government infected Belgacom with among the most advanced malware ever seen.
https://firstlook.org/theintercept/document/2014/12/13/gchq-belgacom-connections/,GCHQ – Belgacom connections,12/13/14,Operation Socialist: The Inside Story of How British Spies Hacked Belgium's Largest Telco,https://firstlook.org/theintercept/2014/12/13/belgacom-hack-gchq-inside-story/,Intercept,The British government infected Belgacom with among the most advanced malware ever seen.
https://firstlook.org/theintercept/document/2014/12/04/auroragold-working-group/,AURORAGOLD Working Group,12/4/14,Operation AURORAGOLD: How the NSA Hacks Cellphone Networks Worldwide,https://firstlook.org/theintercept/2014/12/04/nsa-auroragold-hack-cellphones/,Intercept,The NSA has spied on hundreds of companies and organizations to find security flaws in cellphone technology that it can secretly exploit for surveillance.
https://firstlook.org/theintercept/document/2014/12/04/auroragold-working-aid,AURORAGOLD working aid,12/4/14,Operation AURORAGOLD: How the NSA Hacks Cellphone Networks Worldwide,https://firstlook.org/theintercept/2014/12/04/nsa-auroragold-hack-cellphones/,Intercept,The NSA has spied on hundreds of companies and organizations to find security flaws in cellphone technology that it can secretly exploit for surveillance.
https://firstlook.org/theintercept/document/2014/12/04/ir-21-technology-warning-mechanism,IR.21 – A Technology Warning Mechanism,12/4/14,Operation AURORAGOLD: How the NSA Hacks Cellphone Networks Worldwide,https://firstlook.org/theintercept/2014/12/04/nsa-auroragold-hack-cellphones/,Intercept,The NSA has spied on hundreds of companies and organizations to find security flaws in cellphone technology that it can secretly exploit for surveillance.
https://firstlook.org/theintercept/document/2014/12/04/opulent-pup-encryption-attack,OPULENT PUP encryption attack,12/4/14,Operation AURORAGOLD: How the NSA Hacks Cellphone Networks Worldwide,https://firstlook.org/theintercept/2014/12/04/nsa-auroragold-hack-cellphones/,Intercept,The NSA has spied on hundreds of companies and organizations to find security flaws in cellphone technology that it can secretly exploit for surveillance.
https://firstlook.org/theintercept/document/2014/12/04/wolframite-encryption-attack,WOLFRAMITE encryption attack,12/4/14,Operation AURORAGOLD: How the NSA Hacks Cellphone Networks Worldwide,https://firstlook.org/theintercept/2014/12/04/nsa-auroragold-hack-cellphones/,Intercept,The NSA has spied on hundreds of companies and organizations to find security flaws in cellphone technology that it can secretly exploit for surveillance.
https://firstlook.org/theintercept/document/2014/12/04/first-ever-collect-high-interest-4g-cellular-signal,NSA First-Ever Collect of High-Interest 4G Cellular Signal,12/4/14,Operation AURORAGOLD: How the NSA Hacks Cellphone Networks Worldwide,https://firstlook.org/theintercept/2014/12/04/nsa-auroragold-hack-cellphones/,Intercept,The NSA has spied on hundreds of companies and organizations to find security flaws in cellphone technology that it can secretly exploit for surveillance.
https://firstlook.org/theintercept/document/2014/12/04/auroragold-project-overview,AURORAGOLD project overview (2011),12/4/14,Operation AURORAGOLD: How the NSA Hacks Cellphone Networks Worldwide,https://firstlook.org/theintercept/2014/12/04/nsa-auroragold-hack-cellphones/,Intercept,The NSA has spied on hundreds of companies and organizations to find security flaws in cellphone technology that it can secretly exploit for surveillance.
https://firstlook.org/theintercept/document/2014/12/04/auroragold-target-technology-trends-center-support-wpmo,AURORAGOLD – Target Technology Trends Center support to WPMO (2011),12/4/14,Operation AURORAGOLD: How the NSA Hacks Cellphone Networks Worldwide,https://firstlook.org/theintercept/2014/12/04/nsa-auroragold-hack-cellphones/,Intercept,The NSA has spied on hundreds of companies and organizations to find security flaws in cellphone technology that it can secretly exploit for surveillance.
https://firstlook.org/theintercept/document/2014/12/04/nsa-gchq-csec-network-tradecraft-advancement-team,NSA/GCHQ/CSEC Network Tradecraft Advancement Team (2010),12/4/14,Operation AURORAGOLD: How the NSA Hacks Cellphone Networks Worldwide,https://firstlook.org/theintercept/2014/12/04/nsa-auroragold-hack-cellphones/,Intercept,The NSA has spied on hundreds of companies and organizations to find security flaws in cellphone technology that it can secretly exploit for surveillance.
https://firstlook.org/theintercept/document/2014/10/10/national-initiative-protection-program-sentry-eagle/,National Initiative Protection Program — Sentry Eagle,10/10/14,Core Secrets: NSA Saboteurs in China and Germany,https://firstlook.org/theintercept/2014/10/10/core-secrets/,Intercept," NSA agents use “physical subversion” to infiltrate networks and devices, documents show."
